Measurement Name :;Meas-834;;Generated On :;18/10/2021, 15:01:50;;;Calibration details for Oxygen;;;Report :;"@m10:IDENTIFICATION
Serial number     : SEBX0008000834      
MUX channel       : ON - 10

PARAMETERS
Sig LED current   : 040
Ref LED current   : 048
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m10:RDY

";;Other Report :;"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
";;;;;;;;;;;;;;;;;
Start Date/Time:;29/09/2021, 15:44:06;;;;;;Batch No.:  ;PSt5-1937-02;;;;;;;;;;;;;;;;;;;;;;;
End Date/Time:;18/10/2021, 15:00:16;;;;;;O2_cal0 [°];54.55;;Adjustment at ;100; % air saturation;;;;;;;;;;;;;;;;;;;
User Comment :;0;;Meas. Created By :;admin;;;O2_cal2nd [°];46.9;;Adjustment at ;19.7; °C;;;;;;;;;;;;;;;;;;;
SDR Serial No. :;S-834;;;;;;O2_T0 [°C];23;;;;;;;;;;;;;;;;;;;;;;;
Parameter :;Oxygen [[%] Air Saturation];;;;;;O2_T2nd [°C];23;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;O2_patm [mbar];985;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;O2_2nd [% a.s.];100;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OPA Phase values ;;47.65;47.7;47.4;47.43;47.46;47.6;47.62;47.76;47.63;47.5;47.63;47.61;47.78;47.7;47.6;47.55;47.48;47.45;47.65;47.42;47.36;47.44;47.48;47.35;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date/Time;Time/Min.;A1;A2;A3;A4;A5;A6;B1;B2;B3;B4;B5;B6;C1;C2;C3;C4;C5;C6;D1;D2;D3;D4;D5;D6;;Tm [°C];p [mbar];Salinity [g/1000g];T_internal [°C];Error
29.09.21 15:44:08;0.03;96.52;96.18;91.9;92.93;94.44;103.82;95.9;95.68;94.33;93.65;94.8;98.26;96.78;95.07;93.57;100.63;97.05;93.99;98.73;93.4;95.11;94.3;95.35;94.51;;19.7;1020;0;19.42;
29.09.21 16:14:15;30.15;96.36;96.18;91.75;92.93;94.44;103.66;96.06;95.52;94.49;93.65;94.8;98.1;96.78;95.07;93.42;100.63;97.05;93.99;98.89;93.25;95.11;94.3;95.2;94.35;;19.7;1020;0;19.49;
29.09.21 16:44:20;60.23;96.99;96.5;92.05;92.93;94.59;103.98;96.53;95.83;94.49;93.65;95.11;98.26;97.1;95.39;93.57;100.63;97.2;94.14;99.21;93.55;95.26;94.45;95.5;94.66;;19.7;1020;0;19.59;
29.09.21 17:14:26;90.33;96.67;96.5;92.05;92.93;94.59;103.98;96.37;95.68;94.64;93.65;95.11;98.26;96.94;95.23;93.57;100.79;97.2;94.14;99.21;93.55;95.41;94.6;95.35;94.66;;19.7;1020;0;19.49;
29.09.21 17:44:30;120.4;96.67;96.34;92.05;92.93;94.44;103.82;96.37;95.68;94.49;93.49;94.96;98.26;96.94;95.39;93.73;100.79;97.36;94.14;99.05;93.55;95.26;94.45;95.5;94.51;;19.7;1020;0;19.5;
29.09.21 18:14:36;150.5;96.83;96.5;92.05;93.09;94.59;103.66;96.53;95.83;94.49;93.8;95.11;98.1;97.1;95.39;93.57;100.79;97.36;94.14;99.21;93.55;95.41;94.6;95.5;94.66;;19.7;1020;0;19.56;
29.09.21 18:44:41;180.58;96.83;96.66;92.05;93.09;94.44;103.82;96.69;95.83;94.49;93.8;95.11;98.42;97.26;95.39;93.73;100.79;97.36;94.29;99.36;93.7;95.26;94.45;95.5;94.66;;19.7;1020;0;19.58;
29.09.21 19:14:47;210.68;96.52;96.34;91.9;93.09;94.59;103.82;96.22;95.52;94.49;93.65;94.96;98.1;96.78;95.23;93.57;100.63;97.2;94.14;98.89;93.55;95.26;94.3;95.35;94.51;;19.7;1020;0;19.45;
29.09.21 19:44:53;240.78;96.67;96.34;91.9;93.09;94.59;103.66;96.22;95.83;94.64;93.65;94.96;98.26;97.1;95.39;93.57;100.79;97.2;94.14;99.05;93.55;95.11;94.45;95.35;94.51;;19.7;1020;0;19.54;
29.09.21 20:14:59;270.88;97.15;96.66;92.2;93.24;94.75;103.82;96.69;95.99;94.64;93.8;95.27;98.58;97.43;95.39;93.73;100.79;97.36;94.29;99.36;93.7;95.41;94.6;95.66;94.81;;19.7;1020;0;19.56;
29.09.21 20:45:04;300.97;96.83;96.5;92.2;93.09;94.75;103.98;96.53;95.83;94.64;93.8;95.11;98.58;97.1;95.39;93.73;100.95;97.36;94.29;99.05;93.85;95.41;94.6;95.5;94.81;;19.7;1020;0;19.49;
