Lake,Depth ,Conductivity ,Temp,d18O,SDd18O,d2H,SDd2H,LOI,Ash,Nperc,Cperc,C_N,NH4,PO4,NO3,K,Ca ,Fe,S,Mg ,Na,Si,DOC,TN,DON,CH4_diss,N2O_diss,CO2_diss,CH4_supersat,CO2_supersat,CH4_Flux,N2O_Flux,CO2_Flux,WatTemp,CO2_Flux_chamber,BDOC_per,a254,SUVA254,FI,BIX,HIX,TF,Peak_A,Peak_C,Peak_M,Peak_T,Peak_B,Fmax1,Fmax2,Fmax3,Fmax4,BR_maxO2,BR_min_O2,BR_expO2,ChlorA_water,ChlorB_water,Fucox_water,Zeax_water,TSI,ChlorA_sed,ChlorB_sed,Fucox_sed,Zeax_sed
L1,52.85,836,5.75,-20.3,0.02,-157.58,0.09,4.57,95.43,0.2,6.83,39.84,0.077,0.008,0.015,5.58,27.19,0.04,34.49,36.49,53.69,0.54,5.433,0.444,0.352,1.03,0.4,626,nosatur,saturated,11.2,0.01,581,5.47,7.985902616,12.78819551,28.944653,2.31331463,1.5161978,0.6515089,4.9754932,3506.6652,0.54858982,0.26492182,0.27047139,0.15406489,0.083742921,0.271465665,0.320991771,0.112500709,0.031502376,-0.05321529,-0.000705064,-0.046628669,1.19,0.02,0.03,NA,41,0.989543314,0.05,NA,NA
L2,20.15,169.15,16.1,-22.59,0.04,-172.62,0.12,60.07,39.93,2.48,32.04,15.07,0.029,0.006,0,1.02,14.22,0.04,5.6,10.25,4.57,0.85,7.832,0.38,0.351,7.09,0.29,0,saturated,nosatur,716.8,0.16,-916,16.67,-6.480840527,13.39607605,76.49577,4.241024719,1.4098425,0.51835563,8.2916302,7374.2772,1.1225852,0.60049258,0.58468782,0.25080361,0.13049273,0.677825069,0.642158486,0.152586026,0.03973917,-0.028875608,-0.006327258,-0.034281186,1.54,0.07,0.02,NA,44,43.82846452,4.26,2.53,0.323373734
L3,27,413,10.55,-18.29,0.03,-142.06,0.65,14.91,85.09,0.79,10.81,15.96,0.059,0.005,0.003,1.54,19.54,0.04,6.07,19.31,15.81,0.52,5.843,0.528,0.465,6.11,0.39,462,saturated,saturated,190.1,0.01,492,9.54,11.18109955,13.55845046,28.951646,2.15151033,1.5556776,0.63205831,4.5549202,3337.9029,0.53747816,0.25702523,0.26227747,,0.075399483,0.259262299,0.305171075,0.096927153,0.038191608,-0.017828695,-0.001821675,-0.036518257,0.78,0.01,0,NA,37,29.97867426,1.25,3.93,NA
L4,13.4,1056,15.15,-19.05,0.02,-150.44,0.21,67.99,32.01,2.28,37.82,19.39,0.037,0.005,0,2.31,42.31,0.05,30.87,39.18,41.47,2.95,14.9,0.781,0.744,0.11,0.34,398,nosatur,saturated,1.5,-0.01,550,11.49,-1.176448319,7.86968479,134.424763,3.91741041,1.46766913,0.536894357,13.8984042,16989.5087,2.62506096,1.32723356,1.26916844,0.495195784,0.139800495,1.575098111,1.4692846,0.229142571,0.010904812,-0.028486409,-0.001646213,-0.045509107,2.75,0.11,0.35,NA,50,30.89545174,5.89,8.44,NA
L5,47.3,451.5,11.7,-18.15,0.04,-142.06,0.11,1.58,98.42,0.08,6.46,94.12,0.036,0.005,0.005,1.91,22.61,0.04,6.67,22.02,18.77,0.42,6.758,0.543,0.502,3.16,0.37,283,saturated,saturated,92.8,0.11,193,13.08,7.270879199,34.85707991,30.296845,1.946638371,1.5502534,0.68209548,4.4413559,3441.1077,0.51892556,0.25117062,0.26127282,0.15793019,0.091457413,0.253232344,0.310293881,0.118687981,0.034978732,-0.023526001,-0.000512296,-0.04009717,1.01,NA,0.12,NA,40,0.686215803,NA,0,NA
L6,35.2,124.1,6,-16.63,0.01,-130.97,0.18,3.02,96.98,0.17,10.04,68.86,0.042,0.006,0,3.63,43.99,0.04,22.28,46.89,31.37,3.19,22.42,1.206,1.165,24.08,0.55,427,saturated,saturated,2786.4,2.86,7364,5.62,9.288080008,5.114193639,144.379374,2.796247496,1.49159817,0.627788896,7.54635367,16892.5241,2.39879393,1.19550128,1.19525781,0.643016296,0.300833148,1.254706007,1.455997985,0.431114372,0.03747188,-0.033825791,-0.001924571,-0.038947315,0.48,NA,NA,NA,32,0.963950868,NA,NA,NA
L7,25.5,904,12.5,-16.77,0.01,-134.4,0.13,1.83,98.17,0.09,5.35,73.42,0.03,0.004,0,3.85,29.54,0.02,13.39,43.29,42.87,0.16,14.14,0.876,0.846,1.45,0.38,95,saturated,nosatur,91.3,3.81,-4585,12.41,-4.278514135,10.18754366,53.561436,1.64478397,1.4810943,0.68752685,3.8406046,6019.2881,0.83653737,0.39363323,0.42271959,0.2812372,0.1582701,0.400256112,0.51395834,0.223584576,0.057667663,-0.035820462,0.00291011,-0.119581404,0.84,0.1,0.02,NA,38,0.862084753,0.02,0.02,0.090221444
L8,16.7,847,14.8,-16.63,0.03,-138.39,0.17,22.15,77.85,0.78,16.41,24.54,0.029,0.005,0.004,0.52,7.51,0.02,1.74,6.55,4.16,0.15,2.669,0.206,0.174,0.49,0.37,50,nosatur,nosatur,86.5,3.73,-5957,15,-3.257229543,23.20110701,8.5477591,1.390624134,1.4285202,0.5840377,2.5096678,1574.1314,0.20362566,0.092734604,0.093660851,0.052231757,0.040823214,0.098423856,0.102743035,0.040649905,0.040589849,-0.014470711,-0.001572322,-0.033500515,4.2,NA,0.61,NA,54,5.282779893,0.19,0.46,NA
L9,42.2,462,5,-16.06,0.05,-127.09,0.24,4.19,95.81,0.16,8.03,58.51,0.127,0.004,0.002,2.54,27.08,0.03,6.03,22.01,28.17,1.04,5.462,0.495,0.366,41.3,0.54,1211,saturated,saturated,1810.1,0.13,2136,4.99,65.77889537,18.14667771,18.754298,1.490922877,1.5786027,0.75733211,2.4887677,2696.008,0.32702878,0.14558329,0.15943131,0.11072721,0.076589485,0.139663635,0.189256795,0.090107848,0.061507845,-0.016192067,-0.000493687,-0.109082734,0.55,NA,NA,NA,34,2.17140297,0.15,0.21,NA
L10,18.45,1830,16.55,-15.53,0.04,-132.89,0.18,49.82,50.18,2,27.55,16.07,0.039,0.008,0,5.88,79.24,0.03,79.81,66.72,72.41,1.64,27.51,1.637,1.598,0.1,0.34,0,nosatur,nosatur,2.4,0.38,-1320,15.6,-6.389633744,11.49179158,206.848836,3.264889995,1.48824414,0.633158727,11.7501371,23061.1537,3.56714658,1.73110666,1.72293343,0.827625327,0.224202695,1.96555123,2.145944341,0.436271623,0,-0.029188095,-0.001845957,-0.037926525,0.82,0.05,0.07,NA,38,35.42125709,4.31,4.17,NA
