17/02/2021/12:08 SW ver:OXY10v3_33
Header Ch-1
Description: BLANC F1 FR
IDENTIFICATION
PHIboard number   : v1214375
PM number         : 00000000
Serial number     : OXY-10-09-035       
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 067
Ref LED amplitude : 90777
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 133000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 058500
Date   (ddmmyy)   : 140217
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
17/02/2021;12:08:39;0,00;9,551;27,110;3741,000;20,000
17/02/2021;12:08:41;0,03;9,315;27,380;3743,000;20,000
17/02/2021;12:08:45;0,09;9,348;27,340;3736,000;20,000
17/02/2021;12:08:59;0,34;9,329;27,360;3736,000;20,000
17/02/2021;12:09:15;0,59;9,395;27,280;3741,000;20,000
17/02/2021;12:09:29;0,84;9,410;27,270;3745,000;20,000
17/02/2021;12:09:44;1,09;9,356;27,330;3734,000;20,000
17/02/2021;12:10:00;1,34;9,343;27,340;3757,000;20,000
17/02/2021;12:10:15;1,59;9,431;27,240;3751,000;20,000
17/02/2021;12:10:30;1,84;9,381;27,300;3749,000;20,000
17/02/2021;12:10:45;2,09;9,486;27,180;3752,000;20,000
17/02/2021;12:11:00;2,34;9,494;27,170;3752,000;20,000
17/02/2021;12:11:14;2,59;9,461;27,210;3761,000;20,000
17/02/2021;12:11:30;2,84;9,540;27,120;3755,000;20,000
17/02/2021;12:11:44;3,09;9,450;27,220;3760,000;20,000
17/02/2021;12:12:00;3,34;9,438;27,240;3767,000;20,000
17/02/2021;12:12:15;3,59;9,369;27,310;3767,000;20,000
17/02/2021;12:12:30;3,84;9,578;27,080;3743,000;20,000
17/02/2021;12:12:45;4,09;9,566;27,090;3751,000;20,000
17/02/2021;12:13:00;4,34;9,430;27,240;3754,000;20,000
17/02/2021;12:13:15;4,59;9,417;27,260;3746,000;20,000
17/02/2021;12:13:30;4,84;9,481;27,190;3759,000;20,000
17/02/2021;12:13:45;5,09;9,534;27,130;3755,000;20,000
17/02/2021;12:14:00;5,34;9,378;27,300;3745,000;20,000
17/02/2021;12:14:15;5,59;9,580;27,080;3751,000;20,000
17/02/2021;12:14:29;5,84;9,480;27,190;3756,000;20,000
17/02/2021;12:14:45;6,09;9,457;27,210;3753,000;20,000
17/02/2021;12:14:59;6,34;9,511;27,150;3742,000;20,000
17/02/2021;12:15:15;6,59;9,514;27,150;3750,000;20,000
17/02/2021;12:15:30;6,84;9,350;27,330;3757,000;20,000
17/02/2021;12:15:44;7,09;9,463;27,210;3753,000;20,000
17/02/2021;12:16:00;7,34;9,405;27,270;3762,000;20,000
17/02/2021;12:16:14;7,59;9,565;27,090;3757,000;20,000
17/02/2021;12:16:29;7,84;9,640;27,010;3758,000;20,000
17/02/2021;12:16:45;8,09;9,453;27,220;3748,000;20,000
17/02/2021;12:17:00;8,34;9,444;27,230;3758,000;20,000
17/02/2021;12:17:15;8,59;9,459;27,210;3757,000;20,000
17/02/2021;12:17:30;8,84;9,446;27,230;3764,000;20,000
17/02/2021;12:17:45;9,09;9,243;27,460;3763,000;20,000
17/02/2021;12:18:00;9,34;9,475;27,190;3757,000;20,000
17/02/2021;12:18:15;9,59;9,500;27,170;3772,000;20,000
17/02/2021;12:18:30;9,84;9,324;27,360;3758,000;20,000
17/02/2021;12:18:44;10,09;9,448;27,220;3768,000;20,000
17/02/2021;12:18:59;10,34;9,588;27,070;3773,000;20,000
17/02/2021;12:19:15;10,59;9,416;27,260;3776,000;20,000
17/02/2021;12:19:29;10,84;9,422;27,250;3769,000;20,000
17/02/2021;12:19:45;11,09;9,364;27,320;3774,000;20,000
17/02/2021;12:20:00;11,34;9,470;27,200;3774,000;20,000
17/02/2021;12:20:15;11,59;9,348;27,340;3774,000;20,000
17/02/2021;12:20:30;11,84;9,435;27,240;3770,000;20,000
17/02/2021;12:20:44;12,09;9,362;27,320;3787,000;20,000
17/02/2021;12:20:59;12,34;9,321;27,370;3769,000;20,000
17/02/2021;12:21:14;12,59;9,436;27,240;3782,000;20,000
17/02/2021;12:21:30;12,84;9,402;27,280;3768,000;20,000
17/02/2021;12:21:45;13,09;9,323;27,370;3769,000;20,000
17/02/2021;12:22:00;13,34;9,347;27,340;3775,000;20,000
17/02/2021;12:22:14;13,59;9,446;27,230;3780,000;20,000
17/02/2021;12:22:29;13,84;9,398;27,280;3770,000;20,000
17/02/2021;12:22:44;14,09;9,398;27,280;3773,000;20,000
17/02/2021;12:22:59;14,34;9,473;27,200;3777,000;20,000
17/02/2021;12:23:15;14,59;9,482;27,190;3764,000;20,000
17/02/2021;12:23:30;14,84;9,561;27,100;3765,000;20,000
17/02/2021;12:23:44;15,09;9,444;27,230;3763,000;20,000
17/02/2021;12:24:00;15,34;9,545;27,120;3773,000;20,000
17/02/2021;12:24:15;15,59;9,326;27,360;3764,000;20,000
17/02/2021;12:24:30;15,84;9,530;27,130;3773,000;20,000
17/02/2021;12:24:45;16,09;9,482;27,190;3762,000;20,000
17/02/2021;12:25:00;16,34;9,532;27,130;3769,000;20,000
17/02/2021;12:25:15;16,59;9,349;27,340;3770,000;20,000
17/02/2021;12:25:29;16,84;9,396;27,280;3766,000;20,000
17/02/2021;12:25:45;17,09;9,472;27,200;3766,000;20,000
17/02/2021;12:26:00;17,34;9,518;27,150;3760,000;20,000
17/02/2021;12:26:15;17,59;9,536;27,130;3760,000;20,000
17/02/2021;12:26:29;17,84;9,401;27,280;3774,000;20,000
17/02/2021;12:26:44;18,09;9,439;27,230;3764,000;20,000
17/02/2021;12:27:00;18,34;9,411;27,270;3750,000;20,000
17/02/2021;12:27:15;18,59;9,515;27,150;3753,000;20,000
17/02/2021;12:27:30;18,84;9,342;27,340;3767,000;20,000
17/02/2021;12:27:44;19,09;9,469;27,200;3760,000;20,000
17/02/2021;12:28:00;19,34;9,569;27,090;3749,000;20,000
17/02/2021;12:28:15;19,59;9,343;27,340;3759,000;20,000
17/02/2021;12:28:30;19,84;9,552;27,110;3754,000;20,000
17/02/2021;12:28:44;20,09;9,362;27,320;3754,000;20,000
17/02/2021;12:29:00;20,34;9,502;27,160;3760,000;20,000
17/02/2021;12:29:14;20,59;9,459;27,210;3767,000;20,000
17/02/2021;12:29:30;20,84;9,479;27,190;3754,000;20,000
17/02/2021;12:29:45;21,09;9,489;27,180;3765,000;20,000
17/02/2021;12:30:00;21,34;9,514;27,150;3759,000;20,000
