17/02/2021/12:08 SW ver:OXY10v3_33
Header Ch-2
Description: F1 FR
IDENTIFICATION
PHIboard number   : v1214376
PM number         : 00000000
Serial number     : OXY-10-09-035       
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 077
Ref LED amplitude : 89169
Frequency         : 006
Sending interval  : 0001
Averaging         : 7
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 142800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 065700
Date   (ddmmyy)   : 140217
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
17/02/2021;12:08:40;0,00;9,474;27,190;5571,000;20,000
17/02/2021;12:08:42;0,03;9,523;27,140;5566,000;20,000
17/02/2021;12:08:46;0,09;9,541;27,120;5575,000;20,000
17/02/2021;12:09:01;0,34;9,427;27,250;5560,000;20,000
17/02/2021;12:09:16;0,59;9,640;27,010;5566,000;20,000
17/02/2021;12:09:30;0,84;9,686;26,960;5556,000;20,000
17/02/2021;12:09:46;1,09;9,544;27,120;5565,000;20,000
17/02/2021;12:10:01;1,34;9,676;26,970;5563,000;20,000
17/02/2021;12:10:16;1,59;9,572;27,090;5563,000;20,000
17/02/2021;12:10:31;1,84;9,604;27,050;5570,000;20,000
17/02/2021;12:10:46;2,09;9,472;27,200;5554,000;20,000
17/02/2021;12:11:00;2,34;9,546;27,120;5572,000;20,000
17/02/2021;12:11:15;2,59;9,593;27,060;5548,000;20,000
17/02/2021;12:11:31;2,84;9,545;27,120;5565,000;20,000
17/02/2021;12:11:46;3,09;9,605;27,050;5547,000;20,000
17/02/2021;12:12:01;3,34;9,632;27,020;5541,000;20,000
17/02/2021;12:12:16;3,59;9,504;27,160;5546,000;20,000
17/02/2021;12:12:31;3,84;9,560;27,100;5553,000;20,000
17/02/2021;12:12:46;4,09;9,577;27,080;5545,000;20,000
17/02/2021;12:13:01;4,34;9,593;27,060;5540,000;20,000
17/02/2021;12:13:16;4,59;9,645;27,010;5549,000;20,000
17/02/2021;12:13:31;4,84;9,603;27,050;5548,000;20,000
17/02/2021;12:13:46;5,09;9,484;27,180;5535,000;20,000
17/02/2021;12:14:01;5,34;9,630;27,020;5540,000;20,000
17/02/2021;12:14:16;5,59;9,597;27,060;5542,000;20,000
17/02/2021;12:14:30;5,84;9,558;27,100;5535,000;20,000
17/02/2021;12:14:46;6,09;9,650;27,000;5519,000;20,000
17/02/2021;12:15:00;6,34;9,540;27,120;5535,000;20,000
17/02/2021;12:15:16;6,59;9,461;27,210;5542,000;20,000
17/02/2021;12:15:30;6,84;9,570;27,090;5533,000;20,000
17/02/2021;12:15:45;7,09;9,644;27,010;5535,000;20,000
