17/02/2021/12:08 SW ver:OXY10v3_33
Header Ch-3
Description: F1 FR HS
IDENTIFICATION
PHIboard number   : v1214377
PM number         : 00000000
Serial number     : OXY-10-09-035       
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 079
Ref LED amplitude : 92413
Frequency         : 006
Sending interval  : 0001
Averaging         : 4
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 129800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 058500
Date   (ddmmyy)   : 140217
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
17/02/2021;12:08:42;0,00;9,565;27,090;9098,000;20,000
17/02/2021;12:08:44;0,02;9,662;26,990;9106,000;20,000
17/02/2021;12:08:46;0,07;9,530;27,130;9088,000;20,000
17/02/2021;12:09:01;0,31;9,556;27,100;9073,000;20,000
17/02/2021;12:09:16;0,57;9,578;27,080;9103,000;20,000
17/02/2021;12:09:31;0,81;9,532;27,130;9107,000;20,000
17/02/2021;12:09:46;1,06;9,664;26,990;9099,000;20,000
17/02/2021;12:10:01;1,31;9,640;27,010;9092,000;20,000
17/02/2021;12:10:16;1,56;9,640;27,010;9105,000;20,000
17/02/2021;12:10:31;1,81;9,628;27,020;9098,000;20,000
17/02/2021;12:10:46;2,06;9,578;27,080;9104,000;20,000
17/02/2021;12:11:01;2,31;9,652;27,000;9084,000;20,000
17/02/2021;12:11:16;2,56;9,621;27,030;9091,000;20,000
17/02/2021;12:11:31;2,81;9,586;27,070;9091,000;20,000
