17/02/2021/12:08 SW ver:OXY10v3_33
Header Ch-6
Description: BLANC FUI
IDENTIFICATION
PHIboard number   : v1214380
PM number         : 00000000
Serial number     : OXY-10-09-035       
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 72095
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 153700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 068800
Date   (ddmmyy)   : 140217
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
17/02/2021;12:08:43;0,00;8,744;28,050;10672,000;20,000
17/02/2021;12:08:44;0,02;8,767;28,020;10647,000;20,000
17/02/2021;12:08:48;0,08;8,661;28,160;10643,000;20,000
17/02/2021;12:09:02;0,32;8,674;28,140;10659,000;20,000
17/02/2021;12:09:17;0,57;8,647;28,170;10648,000;20,000
17/02/2021;12:09:32;0,82;8,683;28,130;10642,000;20,000
17/02/2021;12:09:47;1,07;8,710;28,090;10659,000;20,000
17/02/2021;12:10:02;1,32;8,757;28,040;10654,000;20,000
17/02/2021;12:10:17;1,57;8,742;28,060;10648,000;20,000
17/02/2021;12:10:32;1,82;8,719;28,080;10665,000;20,000
17/02/2021;12:10:47;2,07;8,798;27,990;10684,000;20,000
17/02/2021;12:11:02;2,32;8,836;27,940;10691,000;20,000
17/02/2021;12:11:17;2,57;8,751;28,040;10693,000;20,000
17/02/2021;12:11:32;2,82;8,823;27,960;10685,000;20,000
17/02/2021;12:11:47;3,07;8,773;28,020;10725,000;20,000
17/02/2021;12:12:02;3,32;8,681;28,130;10685,000;20,000
17/02/2021;12:12:17;3,57;8,724;28,080;10710,000;20,000
17/02/2021;12:12:32;3,82;8,859;27,910;10729,000;20,000
17/02/2021;12:12:47;4,07;8,717;28,090;10694,000;20,000
17/02/2021;12:13:02;4,32;8,750;28,050;10705,000;20,000
17/02/2021;12:13:17;4,57;8,708;28,100;10699,000;20,000
17/02/2021;12:13:32;4,82;8,801;27,980;10720,000;20,000
17/02/2021;12:13:47;5,07;8,725;28,080;10710,000;20,000
17/02/2021;12:14:02;5,32;8,741;28,060;10697,000;20,000
17/02/2021;12:14:17;5,57;8,718;28,080;10688,000;20,000
17/02/2021;12:14:32;5,82;8,753;28,040;10707,000;20,000
17/02/2021;12:14:47;6,07;8,747;28,050;10701,000;20,000
17/02/2021;12:15:02;6,32;8,665;28,150;10683,000;20,000
17/02/2021;12:15:17;6,57;8,690;28,120;10708,000;20,000
17/02/2021;12:15:32;6,82;8,725;28,080;10693,000;20,000
17/02/2021;12:15:47;7,07;8,689;28,120;10710,000;20,000
17/02/2021;12:16:02;7,32;8,789;28,000;10704,000;20,000
17/02/2021;12:16:17;7,57;8,754;28,040;10718,000;20,000
17/02/2021;12:16:32;7,82;8,727;28,070;10722,000;20,000
17/02/2021;12:16:47;8,07;8,778;28,010;10689,000;20,000
17/02/2021;12:17:02;8,32;8,719;28,080;10732,000;20,000
17/02/2021;12:17:17;8,57;8,735;28,060;10713,000;20,000
17/02/2021;12:17:32;8,82;8,732;28,070;10735,000;20,000
17/02/2021;12:17:47;9,07;8,714;28,090;10730,000;20,000
17/02/2021;12:18:02;9,32;8,733;28,070;10754,000;20,000
17/02/2021;12:18:17;9,57;8,742;28,060;10760,000;20,000
17/02/2021;12:18:32;9,82;8,764;28,030;10754,000;20,000
