17/02/2021/12:08 SW ver:OXY10v3_33
Header Ch-7
Description: FUI FR
IDENTIFICATION
PHIboard number   : v1214381
PM number         : 00000000
Serial number     : OXY-10-09-035       
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 064
Ref LED amplitude : 94131
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 149800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 066000
Date   (ddmmyy)   : 140217
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
17/02/2021;12:08:47;0,00;9,014;27,730;8580,000;20,000
17/02/2021;12:08:48;0,02;9,040;27,700;8596,000;20,000
17/02/2021;12:08:49;0,04;9,037;27,700;8561,000;20,000
17/02/2021;12:09:03;0,26;9,064;27,670;8579,000;20,000
17/02/2021;12:09:18;0,52;8,962;27,790;8581,000;20,000
17/02/2021;12:09:33;0,76;9,098;27,630;8578,000;20,000
17/02/2021;12:09:48;1,02;9,032;27,700;8587,000;20,000
17/02/2021;12:10:03;1,27;9,081;27,650;8576,000;20,000
17/02/2021;12:10:18;1,52;9,079;27,650;8589,000;20,000
17/02/2021;12:10:33;1,77;9,093;27,630;8565,000;20,000
17/02/2021;12:10:48;2,02;9,060;27,670;8578,000;20,000
17/02/2021;12:11:03;2,27;9,033;27,700;8600,000;20,000
17/02/2021;12:11:18;2,51;9,020;27,720;8577,000;20,000
17/02/2021;12:11:33;2,77;8,995;27,750;8575,000;20,000
17/02/2021;12:11:48;3,01;9,016;27,720;8582,000;20,000
17/02/2021;12:12:03;3,27;9,080;27,650;8583,000;20,000
17/02/2021;12:12:18;3,52;9,020;27,720;8570,000;20,000
17/02/2021;12:12:33;3,77;9,079;27,650;8572,000;20,000
17/02/2021;12:12:48;4,02;9,102;27,620;8567,000;20,000
17/02/2021;12:13:03;4,27;9,083;27,640;8575,000;20,000
17/02/2021;12:13:18;4,52;9,041;27,690;8564,000;20,000
17/02/2021;12:13:33;4,77;9,092;27,630;8575,000;20,000
17/02/2021;12:13:48;5,02;9,082;27,650;8575,000;20,000
17/02/2021;12:14:03;5,26;8,990;27,750;8571,000;20,000
17/02/2021;12:14:18;5,52;9,089;27,640;8565,000;20,000
17/02/2021;12:14:33;5,76;9,013;27,730;8571,000;20,000
17/02/2021;12:14:48;6,01;9,048;27,690;8581,000;20,000
