17/02/2021/12:08 SW ver:OXY10v3_33
Header Ch-8
Description: FUI HS
IDENTIFICATION
PHIboard number   : v1214382
PM number         : 00000000
Serial number     : OXY-10-09-035       
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99746
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 144900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 064800
Date   (ddmmyy)   : 140217
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/mg/l;Phase/°;Amp;Temp/°C
17/02/2021;12:08:49;0,00;9,171;27,540;18592,000;20,000
17/02/2021;12:08:50;0,02;9,282;27,410;18575,000;20,000
17/02/2021;12:08:51;0,03;9,223;27,480;18554,000;20,000
17/02/2021;12:09:03;0,24;9,299;27,390;18547,000;20,000
17/02/2021;12:09:18;0,49;9,288;27,410;18552,000;20,000
17/02/2021;12:09:33;0,74;9,279;27,420;18577,000;20,000
17/02/2021;12:09:48;1,00;9,251;27,450;18539,000;20,000
17/02/2021;12:10:03;1,25;9,235;27,470;18555,000;20,000
17/02/2021;12:10:18;1,50;9,234;27,470;18562,000;20,000
17/02/2021;12:10:33;1,74;9,300;27,390;18535,000;20,000
17/02/2021;12:10:48;2,00;9,329;27,360;18538,000;20,000
17/02/2021;12:11:03;2,24;9,263;27,430;18548,000;20,000
17/02/2021;12:11:18;2,49;9,286;27,410;18540,000;20,000
17/02/2021;12:11:33;2,75;9,305;27,390;18512,000;20,000
17/02/2021;12:11:48;3,00;9,263;27,430;18524,000;20,000
17/02/2021;12:12:03;3,25;9,310;27,380;18516,000;20,000
17/02/2021;12:12:18;3,50;9,285;27,410;18501,000;20,000
17/02/2021;12:12:33;3,75;9,281;27,410;18501,000;20,000
17/02/2021;12:12:48;4,00;9,213;27,490;18527,000;20,000
17/02/2021;12:13:03;4,25;9,309;27,380;18500,000;20,000
17/02/2021;12:13:18;4,50;9,356;27,330;18510,000;20,000
17/02/2021;12:13:33;4,74;9,270;27,430;18493,000;20,000
17/02/2021;12:13:48;5,00;9,261;27,440;18504,000;20,000
17/02/2021;12:14:03;5,25;9,280;27,420;18505,000;20,000
17/02/2021;12:14:18;5,50;9,317;27,370;18507,000;20,000
17/02/2021;12:14:33;5,74;9,305;27,390;18493,000;20,000
17/02/2021;12:14:48;5,99;9,319;27,370;18496,000;20,000
17/02/2021;12:15:03;6,24;9,223;27,480;18483,000;20,000
17/02/2021;12:15:18;6,50;9,303;27,390;18499,000;20,000
17/02/2021;12:15:33;6,74;9,338;27,350;18506,000;20,000
17/02/2021;12:15:48;6,99;9,224;27,480;18493,000;20,000
17/02/2021;12:16:03;7,25;9,268;27,430;18488,000;20,000
17/02/2021;12:16:18;7,50;9,298;27,390;18478,000;20,000
17/02/2021;12:16:33;7,74;9,256;27,440;18494,000;20,000
17/02/2021;12:16:48;8,00;9,292;27,400;18476,000;20,000
17/02/2021;12:17:03;8,25;9,293;27,400;18466,000;20,000
17/02/2021;12:17:18;8,50;9,305;27,390;18456,000;20,000
17/02/2021;12:17:33;8,74;9,253;27,450;18408,000;20,000
17/02/2021;12:17:48;9,00;9,278;27,420;18386,000;20,000
17/02/2021;12:18:03;9,24;9,278;27,420;18382,000;20,000
17/02/2021;12:18:18;9,49;9,267;27,430;18351,000;20,000
17/02/2021;12:18:33;9,75;9,257;27,440;18392,000;20,000
17/02/2021;12:18:48;9,99;9,280;27,420;18411,000;20,000
17/02/2021;12:19:03;10,24;9,221;27,480;18378,000;20,000
17/02/2021;12:19:18;10,49;9,347;27,340;18382,000;20,000
17/02/2021;12:19:33;10,75;9,226;27,480;18391,000;20,000
17/02/2021;12:19:48;11,00;9,243;27,460;18395,000;20,000
17/02/2021;12:20:03;11,25;9,251;27,450;18376,000;20,000
17/02/2021;12:20:18;11,50;9,317;27,370;18350,000;20,000
17/02/2021;12:20:33;11,75;9,281;27,410;18374,000;20,000
17/02/2021;12:20:48;12,00;9,319;27,370;18357,000;20,000
17/02/2021;12:21:03;12,24;9,284;27,410;18344,000;20,000
17/02/2021;12:21:18;12,49;9,327;27,360;18362,000;20,000
17/02/2021;12:21:33;12,74;9,259;27,440;18347,000;20,000
17/02/2021;12:21:48;13,00;9,285;27,410;18333,000;20,000
17/02/2021;12:22:03;13,24;9,227;27,480;18338,000;20,000
17/02/2021;12:22:18;13,49;9,302;27,390;18344,000;20,000
17/02/2021;12:22:33;13,74;9,283;27,410;18328,000;20,000
17/02/2021;12:22:48;13,99;9,249;27,450;18334,000;20,000
17/02/2021;12:23:03;14,24;9,317;27,370;18336,000;20,000
17/02/2021;12:23:18;14,49;9,223;27,480;18335,000;20,000
17/02/2021;12:23:33;14,74;9,288;27,410;18338,000;20,000
17/02/2021;12:23:48;14,99;9,269;27,430;18376,000;20,000
17/02/2021;12:24:03;15,25;9,293;27,400;18329,000;20,000
17/02/2021;12:24:18;15,49;9,222;27,480;18340,000;20,000
17/02/2021;12:24:33;15,75;9,261;27,440;18319,000;20,000
17/02/2021;12:24:48;16,00;9,335;27,350;18323,000;20,000
17/02/2021;12:25:03;16,25;9,250;27,450;18342,000;20,000
17/02/2021;12:25:18;16,50;9,245;27,460;18335,000;20,000
17/02/2021;12:25:33;16,74;9,279;27,420;18342,000;20,000
17/02/2021;12:25:48;16,99;9,268;27,430;18328,000;20,000
17/02/2021;12:26:03;17,25;9,269;27,430;18312,000;20,000
17/02/2021;12:26:18;17,50;9,266;27,430;18334,000;20,000
17/02/2021;12:26:33;17,74;9,204;27,500;18346,000;20,000
17/02/2021;12:26:48;18,00;9,265;27,430;18322,000;20,000
17/02/2021;12:27:03;18,25;9,259;27,440;18326,000;20,000
17/02/2021;12:27:18;18,49;9,307;27,380;18334,000;20,000
17/02/2021;12:27:33;18,75;9,279;27,420;18310,000;20,000
17/02/2021;12:27:48;19,00;9,317;27,370;18307,000;20,000
17/02/2021;12:28:03;19,24;9,283;27,410;18319,000;20,000
17/02/2021;12:28:18;19,50;9,223;27,480;18312,000;20,000
17/02/2021;12:28:33;19,74;9,300;27,390;18297,000;20,000
17/02/2021;12:28:48;20,00;9,241;27,460;18304,000;20,000
17/02/2021;12:29:03;20,24;9,246;27,450;18304,000;20,000
17/02/2021;12:29:18;20,49;9,295;27,400;18302,000;20,000
17/02/2021;12:29:33;20,74;9,317;27,370;18307,000;20,000
17/02/2021;12:29:48;20,99;9,227;27,480;18300,000;20,000
17/02/2021;12:30:03;21,24;9,224;27,480;18289,000;20,000
17/02/2021;12:30:18;21,50;9,284;27,410;18298,000;20,000
17/02/2021;12:30:33;21,75;9,334;27,350;18268,000;20,000
17/02/2021;12:30:48;22,00;9,251;27,450;18282,000;20,000
17/02/2021;12:31:03;22,24;9,191;27,520;18284,000;20,000
17/02/2021;12:31:18;22,49;9,329;27,360;18263,000;20,000
17/02/2021;12:31:33;22,74;9,275;27,420;18251,000;20,000
17/02/2021;12:31:48;23,00;9,271;27,420;18276,000;20,000
17/02/2021;12:32:03;23,24;9,314;27,380;18248,000;20,000
17/02/2021;12:32:18;23,49;9,311;27,380;18260,000;20,000
17/02/2021;12:32:33;23,74;9,315;27,380;18253,000;20,000
17/02/2021;12:32:48;23,99;9,262;27,440;18241,000;20,000
17/02/2021;12:33:03;24,25;9,293;27,400;18247,000;20,000
17/02/2021;12:33:18;24,50;9,302;27,390;18235,000;20,000
17/02/2021;12:33:33;24,74;9,272;27,420;18242,000;20,000
17/02/2021;12:33:48;25,00;9,300;27,390;18244,000;20,000
17/02/2021;12:34:03;25,25;9,230;27,470;18226,000;20,000
17/02/2021;12:34:18;25,49;9,344;27,340;18239,000;20,000
17/02/2021;12:34:33;25,75;9,308;27,380;18212,000;20,000
